song_title,artist,simplified_genre,clean_lyrics
The Power Of Love,Huey Lewis & The News,Rock,the power of love is a curious thing make a one man weep make another man sing change a hawk to a little white dove more than a feeling thats the power of love tougher than diamonds rich like cream stronger and harder than a bad girls dream make a bad one good make a wrong one right power of love that keeps you home at night it dont need money dont take fame dont need no credit card to ride this train its strong and its sudden and its cruel sometimes but it might just save your life thats the power of love thats the power of love first time you feel it it might make you sad next time you feel it it might make you mad but youll be glad baby when youve found thats the power makes the world go round and it dont take money dont take fame dont need no credit card to ride this train its strong and its sudden and it can be cruel sometimes but it might just save your life they say that all in love is fair yeah but you dont care but you know what to do when it gets hold of you and with a little help from above you feel the power of love you feel the power of love can you feel it hmmmm hmm it dont take money and it dont take fame dont need no credit card to ride this train tougher than diamonds and stronger than steel you wont feel nothin til you feel you feel the power just feel the power of love thats the power thats the power of love you feel the power of love you feel the power of love feel the power of love
St. Elmo's Fire (Man In Motion),John Parr,Jazz,man in motion was the name of the twoyear… read more growin up you dont see the writing on the wall passin by movin straight ahead you knew it all but maybe sometime if you feel the pain youll find youre all alone everything has changed play the game you know you cant quit until its won soldier on only you can do what must be done you know in some way youre a lot like me youre just a prisoner and youre trying to break free i can see a new horizon underneath the blazin sky ill be where the eagles flyin higher and higher gonna be a man in motion all i need is a pair of wheels take me where my futures lyin st elmos fire oohoohoohooh burnin up dont know just how far that i can go just how far i go soon be home only just a few miles down the road i can make it i know i can you broke the boy in me but you wont break the man i can see a new horizon underneath the blazin sky ill be where the eagles flyin higher and higher gonna be a man in motion all i need is a pair of wheels take me where my futures lyin st elmos fire i can climb the highest mountain cross the wildest sea i can feel st elmos fire burnin in me burnin in me just once in his life a man has his time and my time is now im coming alive i can hear the music playin i can see the banners fly feel like a man again ill hold my head high gonna be a man in motion all i need is a pair of wheels take me where my futures lyin st elmos fire i can see a new horizon underneath the blazin sky ill be where the eagles flyin higher and higher gonna be a man in motion all i need is a pair of wheels take me where my futures lyin st elmos fire i can climb the highest mountain cross the wildest sea i can feel st elmos fire burnin in me burnin burnin in me i can feel it burnin ooh burnin inside of me
Freeway Of Love,Aretha Franklin,Soul,it also won a grammy for “best female rb vocal performance” knew youd be a vision in white howd you get your pants so tight dont know what youre doing but you must be living right yeah we got some places to see i brought all the maps with me so jump in it aint no sin take a ride in my machine city traffics moving way too slow drop the pedal and go go go we going riding on the freeway of love winds against our back we going riding on the freeway of love in my pink cadillac we going riding on the freeway of love winds against our back we riding on the freeway of love in my pink cadillac never you mind the exit signs we got lots of time we cant quit till we get to the other side with the radio playing our song we keep rolling on who knows how far a car can get before you think about slowing slowing down yeah city traffics moving way too slow drop the pedal and go go go we going riding on the freeway of love winds against our back we going riding on the freeway of love in my pink cadillac we going riding on the freeway of love winds against our back we riding on the freeway of love in my pink cadillac here we go one more time with the wind and your fingers in my hair kind of think we are going for an extended throw down so drop the top baby and lets cruise on into its better than ever street city traffics moving way too slow drop the pedal and go go go we going riding on the freeway of love winds against our back we going riding on the freeway of love in my pink cadillac we going riding on the freeway of love winds against our back we riding on the freeway of love in my pink cadillac and what i want you to do baby freeway of love get over in the left lane and lets merge with peace oh yeah freeway of love take the love exit and then make a right turn freeway of love go on over to love and satisfaction and joy road well aint we riding baby aint we cruising down free free free freeway go on out to ow lets be good to each other street freeway well freeway of love see that little landmark over there a whole lot of kisses and sweet stuff freeway of love well be just about ow ow ow and satisfaction road yeah free free free satisfaction yeah freeway of love free free free freeway of love
We Don't Need Another Hero (Thunderdome),Tina Turner,R&B,out of the ruins out from the wreckage cant make the same mistake this time we are the children the last generation we are the ones they left behind and i wonder when we are ever gonna change living under the fear til nothing else remains we dont need another hero we dont need to know the way home all we want is life beyond the thunderdome looking for something we can rely on theres got to be something better out there love and compassion their day is coming all else are castles built in the air and i wonder when we are ever gonna change living under the fear til nothing else remains all the children say we dont need another hero we dont need to know the way home all we want is life beyond the thunderdome so what do we do with our lives we leave only a mark will our story shine like a light or end in the dark give it all or nothing we dont need another hero we dont need to know the way home all we want is life beyond the thunderdome
Summer Of '69,Bryan Adams,Rock,i got my first real sixstring bought it at the five and dime played it til my fingers bled was the summer of 69 me and some guys from school had a band and we tried real hard jimmy quit jody got married shouldve known wed never get far oh when i look back now that summer seemed to last forever and if i had the choice yeah id always wanna be there those were the best days of my life hey aint no use in complainin when you got a job to do spent my evenings down at the drivein and thats when i met you yeah standin on your mamas porch you told me that youd wait forever oh and when you held my hand i knew that it was now or never those were the best days of my life oh yeah back in the summer of 69 oh man we were killin time we were young and restless we needed to unwind i guess nothing can last forever forever no yeah yeah and now the times are changin look at everything thats come and gone sometimes when i play that old sixstring think about you wonder what went wrong standin on your mamas porch you told me that itd last forever oh and when you held my hand i knew that it was now or never those were the best days of my life oh yeah back in the summer of 69 uhhuh it was the summer of 69 oh yeah me and my baby in a 69 oh oh it was the summer summer summer of 69 yeah
Shout,Tears For Fears,Pop,shout shout let it all out these are the things i can do without come on im talking to you come on shout shout let it all out these are the things i can do without come on im talking to you come on in violent times you shouldnt have to sell your soul in black and white they really really ought to know those onetrack minds that took you for a working boy kiss them goodbye you shouldnt have to jump for joy you shouldnt have to jump for joy shout shout let it all out these are the things i can do without come on im talking to you come on they gave you life and in return you gave them hell as cold as ice i hope we live to tell the tale i hope we live to tell the tale shout shout let it all out these are the things i can do without come on im talking to you come on shout shout let it all out these are the things i can do without come on im talking to you come on shout shout let it all out let it all out these are the things i can do without come on im talking to you come on and when youve taken down your guard if i could change your mind id really love to break your heart id really love to break your heart shout shout let it all out these are the things i can do without break your heart come on really love to break your heart im talking to you come on shout shout let it all out these are the things i can do without come on im talking to you so come on shout shout let it all out these are the things i can do without come on im talking to you come on they really really ought to know shout shout let it all out they really really ought to know these are the things i can do without they really really come on they really really ought to know im talking to you come on shout shout let it all out id really love to break your heart these are the things i can do without id really love to break your heart come on im talking to you so come on shout shout let it all out these are the things i can do without come on im talking to you–
Never Surrender,Corey Hart,Pop,just a little more time is all were asking for cause just a little more time could open closing doors just a little uncertainty can bring you down and nobody wants to know you now and nobody wants to show you how so if youre lost and on your own you can never surrender and if your path wont lead you home you can never surrender and when the night is cold and dark you can see you can see light cause no one can take away your right to fight and to never surrender with a little perseverance you can get things done without the blind adherence that has conquered some and nobody wants to know you now and nobody wants to show you how so if youre lost and on your own you can never surrender and if your path wont lead you home you can never surrender and when the night is cold and dark you can see you can see light cause no one can take away your right to fight and to never surrender to never surrender and when the night is cold and dark you can see you can see light no one can take away your right to fight and to never surrender to never surrender oh time is all were asking for to never surrender oh you can never surrender time is all youre asking for stand your ground never surrender oh i said you never surrender oh
Cherish,Kool & The Gang,Disco,the song peaked at 2 on the billboard hot 100 topped billboard’s rb singles chart for a week in september of 1985 and topped… read more lets take a walk together near the ocean shore hand in hand you and i lets cherish every moment we have been given for time is passing by i often pray before i lay down by your side if you receive your calling before i awake could i make it through the night cherish the love we have we should cherish the life we live oh cherish the love cherish the life cherish the love the world is always changing nothing stays the same but love will stand the test of time the next life that we live in remains to be seen will you be by my side i often pray before i lay down by your side and if you receive your calling before i awake could i make it through the night cherish the love we have we should cherish the life we live baby yeah cherish the love cherish the life cherish the love cherish the love we have lets cherish every moment we have together for as long as we both shall live hand in hand you and i cherish the love cherish the life cherish the love cherish the love cherish the life cherish the love we have we should cherish the life we live cherish the love cherish the life cherish the love cherish the love we have for as long as we both shall live cherish the love cherish the life cherish the love cherish the love we have lets cherish every moment we have together we should cherish the life we live hand in hand you and i cherish the love cherish the life cherish the love
You're Only Human (Second Wind),Billy Joel,Rock,oohooh yeah ooh youre having a hard time and lately you dont feel so good youre getting a bad reputation in your neighborhood its alright its alright sometimes thats what it takes youre only human youre allowed to make your share of mistakes only human oohooh you better believe there will be times in your life when youll be feeling like a stumbling fool so take it from me youll learn more from your accidents than anything that you could ever learn at school dont forget your second wind sooner or later youll get your second wind oohooh yeah its not always easy to be living in this world of pain youre gonna be crashing into stone walls again and again its alright its alright though you feel your heart break youre only human youre gonna have to deal with heartache youre only human just like a boxer in a title fight you got to walk in that ring all alone oh oh oh oh youre not the only one whos made mistakes but theyre the only thing that you can truly call your own dont forget your second wind wait in that corner until that breeze blows in youve been keeping to yourself these days cause youre thinking everythings gone wrong sometimes you just want to lay down and die that emotion can be so strong but hold on til that old second wind comes along only human oohooh only human you probably dont want to hear advice from someone else but i wouldnt be telling you if i hadnt been there myself its alright its alright ssometimes thats what it takes hahaha were only human were supposed to make mistakes only human oohooh but i survived all those long lonely days oh oh oh oh when it seemed i did not have a friend cause all i needed was a little faith so i could catch my breath and face the world again don’t forget your second wind sooner or later you’ll feel that momentum kick in one more time don’t forget your second wind sooner or later you’ll feel that momentum kick in don’t forget your second wind only human oohooh don’t forget your second wind only human second wind don’t forget your second wind only human ooh ooh only human
Money For Nothing,Dire Straits,Rock,the song features an introduction with… read more i want my i want my mtv i want my i want my mtv i want my i want my mtv i want my i want my mtv hah now look at them yoyos thats the way you do it you play the guitar on the mtv that aint workin thats the way you do it money for nothing and your chicks for free now that aint workin thats the way you do it lemme tell ya them guys aint dumb maybe get a blister on your little finger maybe get a blister on your thumb we got to install microwave ovens custom kitchen deliveries we got to move these refrigerators we got to move these colour tvs see the little faggot with the earring and the makeup yeah buddy thats his own hair that little faggot got his own jet airplane that little faggot hes a millionaire we got to install microwave ovens custom kitchen deliveries we got to move these refrigerators we got to move these colour tvs hoover moveah huh got to install microwave ovens custom kitchen deliveries hes gotta move these refrigerators got to move these colour tvs lookee here look at it i shoulda learned to play the guitar i shoulda learned to play them drums look at that mama she got it sticking in the camera man man we could have some and hes up there whats that hawaiian noises hes banging on the bongos like a chimpanzee oh that aint workin thats the way you do it get your money for nothing get your chicks for free we got to install microwave ovens custom kitchen deliveries we got to move these refrigerators we got to move these colour tvs dog howling listen here now that aint workin thats the way you do it you play the guitar on the mtv that aint workin thats the way you do it money for nothing and your chicks for free money for nothing chicks for free get your money for nothing and your chicks for free oh heh money for nothing chch and your chicks for free get your money for nothing and the chicks for free money for nothing ooh money money for nothing and the chicks for free get your money for nothing get your chicks for free ow get your money for nothing yeah and the chicks for free get your money for nothing whats that and the chicks for free look at that look at that get your money for nothing i want my i want my bozos and the chicks for free i want my mtv money for nothing i want my i want my and the chicks for free i want my mtv get your money for nothing i want my i want my and the chicks for free i want my mtv ah get your money for nothing i want my i want my and the chicks for free i want my mtv easy easy get your money for nothing i want my i want my easy easy and the chicks for free i want my mtv easy easy get your money for nothing i want my i want my and the chicks for free i want my mtv that aint working money for nothing chicks for free money for nothing chicks for free
