rank,title,artist,genre
1,Luther,Kendrick Lamar & SZA,"hip hop, west coast hip hop"
2,Die With A Smile,Lady Gaga & Bruno Mars,"art pop, pop"
3,Ordinary,Alex Warren,Pop
4,Nokia,Drake,"rap, hip hop"
5,A Bar Song (Tipsy),Shaboozey,Country
6,Pink Pony Club,Chappell Roan,Pop
7,I'm The Problem,Morgan Wallen,country
8,I Ain't Coming Back,Morgan Wallen & Post Malone,country
9,Lose Control,Teddy Swims,Pop
10,Beautiful Things,Benson Boone,Pop
11,All The Way,BigXthaPlug Featuring Bailey Zimmerman,southern hip hop
12,Anxiety,Doechii,Hip-Hop/Rap
13,Birds Of A Feather,Billie Eilish,Alternative
14,Just In Case,Morgan Wallen,country
15,I Had Some Help,Post Malone Featuring Morgan Wallen,Hip-Hop/Rap
16,APT.,ROSE & Bruno Mars,Contemporary Romance
17,Love Somebody,Morgan Wallen,country
18,Mutt,Leon Thomas,R&B/Soul
19,Espresso,Sabrina Carpenter,Pop
20,That's So True,Gracie Abrams,Pop
21,Not Like Us,Kendrick Lamar,"hip hop, west coast hip hop"
22,Messy,Lola Young,R&B/Soul
23,TV Off,Kendrick Lamar Featuring Lefty Gunplay,"hip hop, west coast hip hop"
24,30 For 30,SZA With Kendrick Lamar,"egyptian pop, arabic rap, egyptian hip hop"
25,Sports Car,Tate McRae,Pop
26,Abracadabra,Lady Gaga,"art pop, pop"
27,Squabble Up,Kendrick Lamar,"hip hop, west coast hip hop"
28,Stargazing,Myles Smith,Singer/Songwriter
29,No One Noticed,The Marias,bedroom pop
30,Bad Dreams,Teddy Swims,Pop
31,I Never Lie,Zach Top,country
32,Timeless,The Weeknd & Playboi Carti,R&B/Soul
33,Taste,Sabrina Carpenter,Pop
34,Sorry I'm Here For Someone Else,Benson Boone,Pop
35,Blue Strips,Jessie Murph,Alternative
36,Worst Way,Riley Green,country
37,Good News,Shaboozey,Country
38,Sailor Song,Gigi Perez,Alternative
39,Weren't For The Wind,Ella Langley,country
40,Hard Fought Hallelujah,Brandon Lake X Jelly Roll,
41,I'm A Little Crazy,Morgan Wallen,country
42,Azizam,Ed Sheeran,soft pop
43,Wildflower,Billie Eilish,Alternative
44,Cry For Me,The Weeknd,R&B/Soul
45,Dark Thoughts,Lil Tecca,"melodic rap, rap"
46,Residuals,Chris Brown,r&b
47,Denial Is A River,Doechii,Hip-Hop/Rap
48,DTMF,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
49,Indigo,Sam Barber Featuring Avery Anna,country
50,Am I Okay?,Megan Moroney,country
51,Back To Friends,sombr,Indie Rock
52,Me Jalo,Fuerza Regida & Grupo Frontera,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño"
53,Love Me Not,Ravyn Lenae,alternative r&b
54,Smile,Morgan Wallen,country
55,Twilight Zone,Ariana Grande,pop
56,Somebody Loves Me,PARTYNEXTDOOR & Drake,r&b
57,Undressed,sombr,Indie Rock
58,Revolving Door,Tate McRae,Pop
59,Baile Inolvidable,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
60,Rather Lie,Playboi Carti & The Weeknd,rage rap
61,The Giver,Chappell Roan,Pop
62,Peekaboo,Kendrick Lamar Featuring AzChike,"hip hop, west coast hip hop"
63,BMF,SZA,"egyptian pop, arabic rap, egyptian hip hop"
64,Fix What You Didn't Break,Nate Smith,country
65,Holy Smokes,Bailey Zimmerman,country
66,Somethin' 'Bout A Woman,Thomas Rhett Featuring Teddy Swims,"country, acoustic country, pop country"
67,Te Queria Ver,Aleman X Neton Vega,
68,Friends Like That,John Morgan Featuring Jason Aldean,country
69,Loco,Neton Vega,"corrido, corridos tumbados, corridos bélicos, electro corridos"
70,Texas,Blake Shelton,country
71,Happen To Me,Russell Dickerson,country
72,Your Way's Better,Forrest Frank,"christian hip hop, christian pop, pop worship, christian, worship, gospel r&b"
73,Backseat Driver,Kane Brown,"country, pop country"
74,Busy Woman,Sabrina Carpenter,Pop
75,Are You Even Real,Teddy Swims & GIVEON,Pop
76,Ojos Tristes,"Selena Gomez, benny blanco & The Marias",pop
77,EOO,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
78,Steve's Lava Chicken,Jack Black,Hard Rock
79,The Largest,BigXthaPlug,southern hip hop
80,No Pole,Don Toliver,Hip-Hop/Rap
81,Feel It,d4vd,Alternative
82,Die Trying,"PARTYNEXTDOOR, Drake & Yebba",r&b
83,Like Him,"Tyler, The Creator Featuring Lola Young",Hip-Hop/Rap
84,Morena,Neton Vega & Peso Pluma,"corrido, corridos tumbados, corridos bélicos, electro corridos"
85,Haunted,Kane Brown With Jelly Roll,"country, pop country"
86,Gimme A Hug,Drake,"rap, hip hop"
87,Headphones On,Addison Rae,Pop
88,End Of The World,Miley Cyrus,Pop
89,Whiskey Drink,Jason Aldean,"country, acoustic country"
90,Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams",pop
91,Forever To Me,Cole Swindell,"country, acoustic country"
92,Chest Pain (I Love),Malcolm Todd,Alternative
93,Nuevayol,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
94,Party 4 U,Charli xcx,"hyperpop, art pop"
95,Actin Up,Tommy Richman,Hip-Hop/Rap
96,Tattoo,Tito Double P,"corrido, corridos tumbados, corridos bélicos, electro corridos, música mexicana"
97,House Again,Hudson Westbrook,country
98,like JENNIE,JENNIE,k-pop
99,Caramel,Sleep Token,"progressive metal, metalcore"
