song_title,artist,simplified_genre,vader_sentiment,textblob_sentiment,sentiment_label
I Got You Babe,Sonny & Cher,Pop,0.969,0.04876373626373624,positive
Help!,The Beatles,Rock,0.9944,-0.027450980392156866,positive
California Girls,The Beach Boys,Pop,0.9948,0.20404040404040405,positive
Unchained Melody,The Righteous Brothers,Pop,0.9879,0.13999999999999999,positive
It's The Same Old Song,Four Tops,Soul,0.9979,0.15454545454545449,positive
Like A Rolling Stone,Bob Dylan,Rock,-0.6614,0.1694394685773996,negative
Save Your Heart For Me,Gary Lewis And The Playboys,Rock,0.9943,0.11753246753246753,positive
"Hold Me, Thrill Me, Kiss Me",Mel Carter,Pop,0.9969,0.10934343434343434,positive
Down In The Boondocks,Billy Joe Royal,Soul,0.9703,-0.0290824915824916,positive
Papa's Got A Brand New Bag (Part I),James Brown And The Famous Flames,R&B,0.9587,0.35817263544536276,positive
"Baby, I'm Yours",Barbara Lewis,Pop,-0.7579,-0.020238095238095225,negative
You Were On My Mind,We Five,Rock,-0.9648,-0.15555555555555559,negative
Nothing But Heartaches,The Supremes,Soul,0.9982,0.26041666666666663,positive
Don't Just Stand There,Patty Duke,Other,0.9327,-0.06737528344671202,positive
All I Really Want To Do,Cher,Soul,0.978,0.02777777777777777,positive
(I Can't Get No) Satisfaction,The Rolling Stones,Rock,0.9218,-0.018181818181818184,positive
Since I Lost My Baby,The Temptations,Soul,-0.9683,-0.05330387205387205,negative
What's New Pussycat?,Tom Jones,Pop,0.9919,0.1977840909090909,positive
The Tracks Of My Tears,The Miracles,Soul,0.9963,0.29594907407407406,positive
It Ain't Me Babe,The Turtles,Rock,-0.9921,0.1375826719576719,negative
I'm A Fool,"Dino, Desi & Billy",Pop,-0.575,-0.06944444444444443,negative
In The Midnight Hour,Wilson Pickett,Soul,0.987,0.2955026455026455,positive
Heart Full Of Soul,The Yardbirds,Rock,-0.8443,-0.038214285714285715,negative
Ju Ju Hand,Sam The Sham and the Pharaohs,Rock,0.994,0.13020833333333334,positive
Eve Of Destruction,Barry McGuire,Rock,-0.9945,-0.21875,negative
Looking Through The Eyes Of Love,Gene Pitney,Pop,0.999,0.3822109988776656,positive
Houston,Dean Martin,Holiday,0.6249,-0.03162393162393162,positive
Take Me Back,Little Anthony And The Imperials,Pop,-0.8968,0.02566844919786096,negative
Action,Freddy Cannon,Pop,0.9717,0.07618312757201649,positive
Shake And Fingerpop,Jr. Walker & The All Stars,Soul,-0.8126,0.01714285714285717,negative
